geneENSTID	geneName	geneEntrezID	geneUniProtID
ENSMUSG00000028518	Prkaa2	108079	Q8BRK8
ENSMUSG00000029431	B3gnt4	231727	Q1RLK6
ENSMUSG00000109511	Nup62	18226	Q63850
ENSMUSG00000018574	Acadvl	11370	P50544
ENSMUSG00000034610	Tut4	230594	B2RX14
ENSMUSG00000054252	Fgfr3	14184	
ENSMUSG00000025373	Rnf41	67588	Q8BH75
ENSMUSG00000038175	Mylip	218203	Q8BM54
ENSMUSG00000069189	Zdhhc11	71164	Q14AK4
ENSMUSG00000019558	Slc6a8	102857	Q8VBW1
ENSMUSG00000022613	Miox	56727	Q9QXN5
ENSMUSG00000024294	Mib1	225164	Q80SY4
ENSMUSG00000068739	Sars	20226	P26638
ENSMUSG00000094651	Gal3st2	381334	
ENSMUSG00000001918	Slc1a5	20514	
ENSMUSG00000041958	Pigs	276846	Q6PD26
ENSMUSG00000046321	Hs3st2	195646	Q673U1
ENSMUSG00000038871	Bpgm	12183	P15327
ENSMUSG00000026999	Nup35	69482	Q8R4R6
ENSMUSG00000031731	Ap1g1	11765	P22892
ENSMUSG00000002550	Uck1	22245	
ENSMUSG00000114515	Aldoa		
ENSMUSG00000016619	Nup50	18141	Q9JIH2
ENSMUSG00000025317	Car5a	12352	P23589
ENSMUSG00000059412	Fxyd2	11936	Q04646
ENSMUSG00000031392	Irak1	16179	Q62406
ENSMUSG00000070570	Slc17a7	72961	Q3TXX4
ENSMUSG00000018339	Gpx3	14778	P46412
ENSMUSG00000032966	Fkbp1a	14225	P26883
ENSMUSG00000035890	Rnf126	70294	Q91YL2
ENSMUSG00000009633	G0s2	14373	Q61585
ENSMUSG00000022354	Ndufb9	66218	Q9CQJ8
ENSMUSG00000034118	Tpst1	22021	O70281
ENSMUSG00000006574	Slc4a1	20533	P04919
ENSMUSG00000053436	Mapk14	26416	P47811
ENSMUSG00000021278	Amn	93835	Q99JB7
ENSMUSG00000028766	Alpl	11647	P09242
ENSMUSG00000032456	Nmnat3	74080	Q99JR6
ENSMUSG00000029802	Abcg2	26357	
ENSMUSG00000026473	Glul	14645	P15105
ENSMUSG00000030785	Cox6a2	12862	P43023
ENSMUSG00000023926	Rhag	19743	Q9QUT0
ENSMUSG00000006378	Gcat	26912	O88986
ENSMUSG00000000563	Atp5pb	11950	Q9CQQ7
ENSMUSG00000078941	Ak6	108143;102216272	Q8VCP8
ENSMUSG00000004056	Akt2	11652	Q60823
ENSMUSG00000020609	Apob	238055	E9Q414
ENSMUSG00000020941	Map3k14	53859	Q9WUL6
ENSMUSG00000025646	Atrip	111828493;235610	Q8BMG1
ENSMUSG00000037722	Gnpnat1	54342	Q9JK38
ENSMUSG00000027412	Lpin3	64899	Q99PI4
ENSMUSG00000019990	Pde7b	29863	Q9QXQ1
ENSMUSG00000032409	Atr	245000	
ENSMUSG00000024083	Pja2	224938	Q80U04
ENSMUSG00000038759	Nup205	70699	
ENSMUSG00000020917	Acly	104112	Q91V92
ENSMUSG00000025431	Crisp1	11571	Q03401
ENSMUSG00000031698	Mylk3	213435	Q3UIZ8
ENSMUSG00000008932	Slc1a7	242607	Q8JZR4
ENSMUSG00000057286	St6galnac2	20446	P70277
ENSMUSG00000029245	Epha5	13839	Q60629
ENSMUSG00000004018	Fancl	67030	Q9CR14
ENSMUSG00000019302	Atp6v0a1	11975	Q9Z1G4
ENSMUSG00000023945	Slc5a7	63993	Q8BGY9
ENSMUSG00000018166	Erbb3	13867	Q61526
ENSMUSG00000026288	Inpp5d	16331	Q9ES52
ENSMUSG00000047079	Ube2dnl2	75097	
ENSMUSG00000019810	Fuca2	66848	Q99KR8
ENSMUSG00000025043	Dusp21	73547	Q9D9D8
ENSMUSG00000020910	Adprm	66358	Q99KS6
ENSMUSG00000049091	Sephs2	20768	P97364
ENSMUSG00000030249	Abcc9	20928	P70170
ENSMUSG00000005533	Igf1r	16001	
ENSMUSG00000006676	Usp19	71472	Q3UJD6
ENSMUSG00000024827	Gldc	104174	Q91W43
ENSMUSG00000020580	Rock2	19878	
ENSMUSG00000021785	Ngly1	59007	Q9JI78
ENSMUSG00000033022	Cdo1	12583	P60334
ENSMUSG00000034265	Zdhhc14	224454	Q8BQQ1
ENSMUSG00000041245	Wnk3	279561	Q80XP9
ENSMUSG00000064330	Pde6h	78600	P61249
ENSMUSG00000073678	Pgap1	241062	Q3UUQ7
ENSMUSG00000036432	Siah2	20439	Q06986
ENSMUSG00000091212	Krtap11-1	16693	
ENSMUSG00000046971	Pla2g4f	271844	Q50L41
ENSMUSG00000011884	Gltp	56356	Q9JL62
ENSMUSG00000027737	Slc7a11	26570	Q9WTR6
ENSMUSG00000025486	Sirt3	64384	Q8R104
ENSMUSG00000041697	Cox6a1	12861	
ENSMUSG00000071650	Ganab	14376	Q8BHN3
ENSMUSG00000031155	Pim2	18715	
ENSMUSG00000015405	Ace2	70008	Q8R0I0
ENSMUSG00000090266	Mettl23	74319	A2AA28
ENSMUSG00000020892	Aloxe3	23801	Q9WV07
ENSMUSG00000037134	Prmt9	102182	Q3U3W5
ENSMUSG00000000439	Mkrn2	67027	Q9ERV1
ENSMUSG00000025533	Asl	109900	Q91YI0
ENSMUSG00000036966	Spryd3	223918	
ENSMUSG00000020389	Cdkl3	213084	Q8BLF2
ENSMUSG00000034575	Tent4a	210106	Q6PB75
ENSMUSG00000003068	Stk11	20869	Q9WTK7
ENSMUSG00000057193	Slc44a2	68682	Q8BY89
ENSMUSG00000025932	Eya1	14048	P97767
ENSMUSG00000022686	B3gnt5	108105	Q8BGY6
ENSMUSG00000115338	Pnp	18950	
ENSMUSG00000042102	Dmgdh	74129	Q9DBT9
ENSMUSG00000043998	Mgat2	217664	Q921V5
ENSMUSG00000063358	Mapk1	26413	P63085
ENSMUSG00000027202	Slc12a1	20495	
ENSMUSG00000031216	Stard8	236920	Q8K031
ENSMUSG00000005378	Bud23	66138	Q9CY21
ENSMUSG00000056124	B4galt6	56386	Q9WVK5
ENSMUSG00000021751	Acox2	93732	Q9QXD1
ENSMUSG00000053465	Hs6st3	50787	Q9QYK4
ENSMUSG00000010663	Fads1	76267	Q920L1
ENSMUSG00000054958	Nt5c1a	230718	A3KFX0
ENSMUSG00000051950	B3glct	381694	Q8BHT6
ENSMUSG00000027580	Helz2	229003	E9QAM5
ENSMUSG00000004996	Mri1	67873	Q9CQT1
ENSMUSG00000022329	Stk3	56274	Q9JI10
ENSMUSG00000026393	Nek7	59125	Q9ES74
ENSMUSG00000025607	Copg2	54160	Q9QXK3
ENSMUSG00000026456	Cyb5r1	72017	Q9DB73
ENSMUSG00000059534	Uqcr10	66152	Q8R1I1
ENSMUSG00000026176	Ctdsp1	227292	P58466
ENSMUSG00000030062	Rpn1	103963	Q91YQ5
ENSMUSG00000025138	Sirt7	209011	Q8BKJ9
ENSMUSG00000096145	Vkorc1	27973	Q9CRC0
ENSMUSG00000017718	Afmid	71562	Q8K4H1
ENSMUSG00000029321	Slc10a6	75750	Q9CXB2
ENSMUSG00000026956	Uap1l1	227620	Q3TW96
ENSMUSG00000052363	Zdhhc19	245308	Q810M5
ENSMUSG00000002831	Plin4	57435	O88492
ENSMUSG00000051048	P4ha3	320452	
ENSMUSG00000040105	Plpp6	74411	Q9D4F2
ENSMUSG00000027875	Hmgcs2	15360	P54869
ENSMUSG00000021468	Sptlc1	268656	O35704
ENSMUSG00000009356	Lpo	76113	
ENSMUSG00000020251	Glt8d2	74782	
ENSMUSG00000010064	Slc38a3	76257	Q9DCP2
ENSMUSG00000025428	Atp5a1	11946	Q03265
ENSMUSG00000060579	Fhit	14198	O89106
ENSMUSG00000006717	Acot13	66834	Q9CQR4
ENSMUSG00000029119	Man2b2	17160	O54782
ENSMUSG00000041231	Ublcp1	79560	Q8BGR9
ENSMUSG00000024007	Ppil1	68816	Q9D0W5
ENSMUSG00000087408	Cers1	14559;93898	P27545
ENSMUSG00000027406	Idh3b	170718	
ENSMUSG00000009378	Slc16a12	240638	Q8BGC3
ENSMUSG00000090115	Usp49	224836	Q6P9L4
ENSMUSG00000039431	Mtmr7	54384	Q9Z2C9
ENSMUSG00000033278	Ptprm	19274	P28828
ENSMUSG00000030236	Slco1b2	28253	Q9JJL3
ENSMUSG00000072949	Acot1	26897	O55137
ENSMUSG00000026691	Fmo3	14262	P97501
ENSMUSG00000026239	Pde6d	18582	O55057
ENSMUSG00000029209	Gnpda2	67980	Q9CRC9
ENSMUSG00000033658	Ddx19b	234733	
ENSMUSG00000002103	Acp2	11432	P24638
ENSMUSG00000060988	Galnt13	271786	Q8CF93
ENSMUSG00000042179	Pnliprp1	18946	Q5BKQ4
ENSMUSG00000002346	Slc25a42	73095	Q8R0Y8
ENSMUSG00000030399	Ckm	12715	P07310
ENSMUSG00000033502	Cdc14a	229776	Q6GQT0
ENSMUSG00000021622	Ckmt2	76722	Q6P8J7
ENSMUSG00000021609	Slc6a3	13162	Q61327
ENSMUSG00000063882	Uqcrh	66576	P99028
ENSMUSG00000021457	Syk	20963	P48025
ENSMUSG00000005043	Sgsh	27029	
ENSMUSG00000031730	Dhodh	56749	O35435
ENSMUSG00000014453	Blk	12143	P16277
ENSMUSG00000005469	Prkaca	18747	P05132
ENSMUSG00000064363	mt-Nd4	17719	P03911
ENSMUSG00000025742	Prps2	110639	Q9CS42
ENSMUSG00000032384	Csnk1g1	214897	Q8BTH8
ENSMUSG00000024070	Prkd3	75292	Q8K1Y2
ENSMUSG00000037885	Stk35	67333	Q80ZW0
ENSMUSG00000031349	Nsdhl	18194	Q9R1J0
ENSMUSG00000000594	Gm2a	14667	Q60648
ENSMUSG00000032615	Nt5m	103850	Q8VCE6
ENSMUSG00000034902	Pip5k1c	18717	O70161
ENSMUSG00000032667	Pon2	330260	Q62086
ENSMUSG00000031233	Pgk2	18663	P09041
ENSMUSG00000029512	Ulk1	22241	
ENSMUSG00000018865	Sult4a1	29859	P63046
ENSMUSG00000034453	Polr3b	70428	P59470
ENSMUSG00000031209	Heph	15203	Q9Z0Z4
ENSMUSG00000053819	Camk2d	108058	Q6PHZ2
ENSMUSG00000039463	Slc9a8	77031	Q8R4D1
ENSMUSG00000050229	Pigm	67556	Q8C2R7
ENSMUSG00000021764	Ndufs4	17993	
ENSMUSG00000053693	Mast1	56527	Q9R1L5
ENSMUSG00000001175	Calm1	12313	P0DP26
ENSMUSG00000019874	Fabp7	12140	P51880
ENSMUSG00000025968	Ndufs1	227197	Q91VD9
ENSMUSG00000066361	Serpina3c	16625	P29621
ENSMUSG00000074817	Papolb	56522	
ENSMUSG00000025314	Ptprj	19271	
ENSMUSG00000038541	Srd5a2	94224	Q99N99
ENSMUSG00000018547	Pip4k2b	108083	Q80XI4
ENSMUSG00000028517	Plpp3	67916	Q99JY8
ENSMUSG00000021265	Slc25a29	214663	Q8BL03
ENSMUSG00000040935	Padi6	242726	Q8K3V4
ENSMUSG00000033350	Chst2	54371	Q80WV3
ENSMUSG00000055547	Apobec4	71281	Q497M3
ENSMUSG00000021996	Esd	13885	Q9R0P3
ENSMUSG00000034342	Cbl	12402	P22682
ENSMUSG00000059363	Fxn	14297	O35943
ENSMUSG00000027665	Pik3ca	18706	P42337
ENSMUSG00000031027	Stk33	117229	Q924X7
ENSMUSG00000036678	Aaas	223921	P58742
ENSMUSG00000021553	Slc28a3	114304	Q9ERH8
ENSMUSG00000063953	Amd2	100041585	D3Z6H8
ENSMUSG00000018196	Glrx2	69367	Q923X4
ENSMUSG00000043587	Pxylp1	235534	Q8BHA9
ENSMUSG00000032175	Tyk2	54721	Q9R117
ENSMUSG00000050211	Pla2g4e	329502	Q50L42
ENSMUSG00000062168	Ppef1	237178	O35655
ENSMUSG00000078816	Prkcg	18752	P63318
ENSMUSG00000018363	Smurf2	66313	A2A5Z6
ENSMUSG00000034330	Plcg2	234779	Q8CIH5
ENSMUSG00000017405	Nek8	140859	Q91ZR4
ENSMUSG00000038128	Camk4	12326	
ENSMUSG00000020674	Pxdn	69675	Q3UQ28
ENSMUSG00000036879	Phkb	102093	Q7TSH2
ENSMUSG00000028862	Map3k6	53608	
ENSMUSG00000032899	Styk1	243659	Q6J9G1
ENSMUSG00000049721	Gal3st1	53897	Q9JHE4
ENSMUSG00000026785	Pkn3	263803	Q8K045
ENSMUSG00000027346	Gpcpd1	74182	Q8C0L9
ENSMUSG00000024654	Asrgl1	66514	Q8C0M9
ENSMUSG00000028467	Gba2	230101	Q69ZF3
ENSMUSG00000016128	Stard13	243362	Q923Q2
ENSMUSG00000021115	Vrk1	22367	Q80X41
ENSMUSG00000030816	Rnf40	233900	Q3U319
ENSMUSG00000030283	St8sia1	20449	Q64687
ENSMUSG00000005575	Ube2m	22192	P61082
ENSMUSG00000070424	Art5	11875	P70352
ENSMUSG00000025037	Maoa	17161	Q64133
ENSMUSG00000029516	Cit	12704	
ENSMUSG00000028962	Slc4a2	20535	
ENSMUSG00000030217	Art4	109978	Q9CRA0
ENSMUSG00000028530	Jak1	16451	
ENSMUSG00000029250	Polr2b	231329	Q8CFI7
ENSMUSG00000027963	Extl2	58193	Q9ES89
ENSMUSG00000033554	Dph5	69740	Q9CWQ0
ENSMUSG00000040078	Ptges3-ps		
ENSMUSG00000032525	Nktr	18087	P30415
ENSMUSG00000001909	Trmt1	212528	
ENSMUSG00000029648	Flt1	14254	
ENSMUSG00000021699	Pde4d	238871	Q01063
ENSMUSG00000063362	Alg11	207958	Q3TZM9
ENSMUSG00000040525	Cblc	80794	Q80XL1
ENSMUSG00000038072	Galnt11	231050	Q921L8
ENSMUSG00000032561	Acpp	56318	Q8CE08
ENSMUSG00000024225	Clps	109791	Q9CQC2
ENSMUSG00000066324	Bpnt2	242291	Q80V26
ENSMUSG00000055782	Abcd2	26874	
ENSMUSG00000021559	Dapk1	69635	Q80YE7
ENSMUSG00000063273	Naa15	74838	
ENSMUSG00000030851	Ldhc	16833	P00342
ENSMUSG00000058444	Map2k5	23938	Q9WVS7
ENSMUSG00000056888	Glipr1	73690	Q9CWG1
ENSMUSG00000043319	Cox8c	75483	A6H666
ENSMUSG00000032577	Mapkapk3	102626	Q3UMW7
ENSMUSG00000044308	Ubr3	68795	Q5U430
ENSMUSG00000034780	B3galt1	26877	O54904
ENSMUSG00000018566	Slc2a4	20528	P14142
ENSMUSG00000079469	Pigb	55981	Q9JJQ0
ENSMUSG00000090124	Ugt1a7c	394432	Q6ZQM8
ENSMUSG00000036469	Marchf1	72925	Q6NZQ8
ENSMUSG00000026526	Fh1	14194	P97807
ENSMUSG00000031641	Cbr4	234309	Q91VT4
ENSMUSG00000004929	Thop1	50492	
ENSMUSG00000033014	Trim33	94093	
ENSMUSG00000002948	Map2k7	26400	Q8CE90
ENSMUSG00000038876	Rnf146	68031	Q9CZW6
ENSMUSG00000078650	G6pc	14377	P35576
ENSMUSG00000026568	Mpc2	70456	Q9D023
ENSMUSG00000022610	Mapk12	29857	O08911
ENSMUSG00000046605	B3gntl1	210004	Q3U129
ENSMUSG00000001751	Naglu	27419	
ENSMUSG00000010607	Pigyl	66268	P0C1P0
ENSMUSG00000031818	Cox4i1	12857	P19783
ENSMUSG00000064061	Dzip3	224170	Q7TPV2
ENSMUSG00000028692	Akr1a1	58810	Q9JII6
ENSMUSG00000035232	Pdk3	236900	Q922H2
ENSMUSG00000043144	Aqp6	11831	Q8C4A0
ENSMUSG00000045114	Prrt2	69017	E9PUL5
ENSMUSG00000040466	Blvrb	233016	Q923D2
ENSMUSG00000029171	Pgm2	66681	Q7TSV4
ENSMUSG00000042042	Csgalnact2	78752	Q8C1F4
ENSMUSG00000028443	Nudt2	66401	P56380
ENSMUSG00000042462	Dctpp1	66422	Q9QY93
ENSMUSG00000024538	Ppic	19038	P30412
ENSMUSG00000028894	Inpp5b	16330	Q8K337
ENSMUSG00000021796	Bmpr1a	12166	P36895
ENSMUSG00000023143	Nagpa	27426	Q8BJ48
ENSMUSG00000048065	Cyb5r2	320635	Q3KNK3
ENSMUSG00000020654	Adcy3	104111	Q8VHH7
ENSMUSG00000026110	Mgat4a	269181	Q812G0
ENSMUSG00000029678	Hyal5	74468	Q812F3
ENSMUSG00000007908	Hmgcll1	208982	Q8JZS7
ENSMUSG00000020359	Phykpl	72947	Q8R1K4
ENSMUSG00000046854	Pip5kl1	227733	Q6U7H8
ENSMUSG00000059851	Kmt5c	232811	Q6Q783
ENSMUSG00000030769	Slc5a11	233836	Q8K0E3
ENSMUSG00000021266	Wars	22375	P32921
ENSMUSG00000020827	Mink1	50932	Q9JM52
ENSMUSG00000031851	Ntpcr	66566	Q9CQA9
ENSMUSG00000076441	Ass1	11898	P16460
ENSMUSG00000026687	Aldh9a1	56752	
ENSMUSG00000002728	Naa20	67877	P61600
ENSMUSG00000072849	Serpina1e	20704	Q00898
ENSMUSG00000081752	Sms-ps		
ENSMUSG00000032018	Sc5d	235293	O88822
ENSMUSG00000029478	Ncor2	20602	Q9WU42
ENSMUSG00000041417	Pik3r1	18708	P26450
ENSMUSG00000067148	Polr1c	20016	P52432
ENSMUSG00000024516	Sec11c	66286	Q9D8V7
ENSMUSG00000024617	Camk2a	12322	P11798
ENSMUSG00000047026	Acsm4	233801	Q80W40
ENSMUSG00000059288	Cdyl	12593	Q9WTK2
ENSMUSG00000022842	Ece2	107522	B2RQR8
ENSMUSG00000026670	Uap1	107652	
ENSMUSG00000041193	Pla2g5	18784	
ENSMUSG00000063235	Ptpmt1	66461	Q66GT5
ENSMUSG00000028621	Cyb5rl	230582	B1AS42
ENSMUSG00000039159	Ube2h	22214	P62257
ENSMUSG00000033909	Usp36	72344	B1AQJ2
ENSMUSG00000019102	Aldh3a1	11670	P47739
ENSMUSG00000026281	Dtymk	21915	P97930
ENSMUSG00000020571	Pdia6	71853	
ENSMUSG00000024526	Cidea	12683	O70302
ENSMUSG00000030802	Bckdk	12041	O55028
ENSMUSG00000024587	Nars	70223	Q8BP47
ENSMUSG00000026309	Ilkap	67444	Q8R0F6
ENSMUSG00000026034	Clk1	12747	P22518
ENSMUSG00000067336	Bmpr2	12168	O35607
ENSMUSG00000054021	Sirt5	68346	Q8K2C6
ENSMUSG00000041798	Gck	103988	P52792
ENSMUSG00000040820	Hlcs	110948	Q920N2
ENSMUSG00000041261	Car8	12319	P28651
ENSMUSG00000019779	Frk	14302	Q922K9
ENSMUSG00000025503	Taldo1	21351	Q93092
ENSMUSG00000003809	Gcdh	270076	Q60759
ENSMUSG00000021951	Eef1akmt1	68043	Q9CY45
ENSMUSG00000022034	Esco2	71988	Q8CIB9
ENSMUSG00000037337	Map4k1	26411	P70218
ENSMUSG00000000792	Slc5a5	114479	
ENSMUSG00000015016	Acsf3	257633	Q3URE1
ENSMUSG00000038383	Pigu	228812	Q8K358
ENSMUSG00000006057	Atp5g1	11951	Q9CR84
ENSMUSG00000038751	Ptk6	20459	Q64434
ENSMUSG00000062515	Fabp4	11770	P04117
ENSMUSG00000046822	Slc39a3	106947	Q99K24
ENSMUSG00000069094	Pde7a	18583	P70453
ENSMUSG00000032058	Ppp2r1b	73699	Q7TNP2
ENSMUSG00000024122	Pdpk1	18607	Q9Z2A0
ENSMUSG00000015665	Awat1	245533	A2ADU9
ENSMUSG00000048087	Gm4737	11615	P50247
ENSMUSG00000029361	Nos1	18125	Q9Z0J4
ENSMUSG00000022947	Cbr3	109857	Q8K354
ENSMUSG00000031381	Piga	18700	Q64323
ENSMUSG00000024661	Fth1	14319	P09528
ENSMUSG00000000420	Galnt1	14423	O08912
ENSMUSG00000026117	Zap70	22637	P43404
ENSMUSG00000021226	Acot2	171210	Q9QYR9
ENSMUSG00000040213	Kyat3	229905	Q71RI9
ENSMUSG00000043262	Uevld	54122	Q3U1V6
ENSMUSG00000010051	Hyal1	15586	Q91ZJ9
ENSMUSG00000075593	Gal3st4	330217	
ENSMUSG00000025162	Csnk1d	104318	Q9DC28
ENSMUSG00000031672	Got2	14719	P05202
ENSMUSG00000027185	Nat10	98956	Q8K224
ENSMUSG00000053046	Brsk2	75770	Q69Z98
ENSMUSG00000027394	Ttl	69737	P38585
ENSMUSG00000011148	Adssl1	11565	P28650
ENSMUSG00000015568	Lpl	16956	P11152
ENSMUSG00000035683	Melk	17279	Q61846
ENSMUSG00000004864	Mapk13	26415	Q9Z1B7
ENSMUSG00000062867	Impdh2	23918	P24547
ENSMUSG00000029376	Mthfd2l	665563	D3YZG8
ENSMUSG00000031059	Ndufb11	104130	O09111
ENSMUSG00000020642	Rnf144a	108089	Q925F3
ENSMUSG00000002732	Fkbp7	14231	O54998
ENSMUSG00000024650	Slc22a6	18399	Q8VC69
ENSMUSG00000031633	Slc25a4	11739	P48962
ENSMUSG00000034566	Atp5h	71679	Q9DCX2
ENSMUSG00000025393	Atp5b	11947	P56480
ENSMUSG00000030726	Pold3	67967	
ENSMUSG00000057228	Aadat	23923	Q9WVM8
ENSMUSG00000028698	Pik3r3	18710	Q64143
ENSMUSG00000071662	Polr2g	67710	P62488
ENSMUSG00000034842	Art3	109979	Q8R2G4
ENSMUSG00000002985	Apoe	11816	P08226
ENSMUSG00000022681	Ntan1	18203	Q64311
ENSMUSG00000063428	Ddo	70503	Q922Z0
ENSMUSG00000004939	Nmrk2	69564	Q9D7C9
ENSMUSG00000037062	Sh3glb1	54673	Q9JK48
ENSMUSG00000033316	Galnt9	231605	
ENSMUSG00000024992	Pde6c	110855	Q91ZQ1
ENSMUSG00000029082	Bst1	12182	
ENSMUSG00000001323	Srr	27364	Q9QZX7
ENSMUSG00000020592	Sdc1	20969	P18828
ENSMUSG00000042460	C1galt1	94192	Q9JJ06
ENSMUSG00000064109	Hcst	23900	Q9QUJ0
ENSMUSG00000024576	Csnk1a1	93687	Q8BK63
ENSMUSG00000038349	Plcl1	227120	Q3USB7
ENSMUSG00000060803	Gstp1	14870	P19157
ENSMUSG00000027983	Cyp2u1	71519	Q9CX98
ENSMUSG00000025094	Slc18a2	214084	Q8BRU6
ENSMUSG00000023262	Acy1	109652	
ENSMUSG00000040569	Slc26a7	208890	Q8R2Z3
ENSMUSG00000032307	Ube2q2	109161	Q8K2Z8
ENSMUSG00000027642	Rpn2	20014	Q9DBG6
ENSMUSG00000070427	Il18bp	16068	Q9Z0M9
ENSMUSG00000024833	Pola2	18969	P33611
ENSMUSG00000039908	Slc26a11	268512	Q80ZD3
ENSMUSG00000028158	Mttp	17777	O08601
ENSMUSG00000030282	Cmas	12764	
ENSMUSG00000042410	Agps	228061	
ENSMUSG00000053862	Slc51b	330962	Q80WK2
ENSMUSG00000036587	Fut7	14347	Q11131
ENSMUSG00000090145	Ugt1a6b	394435	
ENSMUSG00000038181	Chpf2	100910	
ENSMUSG00000062937	Mtap	66902	Q9CQ65
ENSMUSG00000029416	Slc15a4	100561	Q91W98
ENSMUSG00000031065	Cdk16	18555	Q04735
ENSMUSG00000029710	Ephb4	13846	P54761
ENSMUSG00000021919	Chat	12647	
ENSMUSG00000028959	Fastk	66587	
ENSMUSG00000035699	Slc51a	106407	Q8R000
ENSMUSG00000024197	Plin3	66905	Q9DBG5
ENSMUSG00000079434	Neu2	23956	Q9JMH3
ENSMUSG00000070407	Hs3st3b1	54710	Q9QZS6
ENSMUSG00000096146	Kcnj11	16514	Q61743
ENSMUSG00000031010	Usp9x	22284	
ENSMUSG00000074797	Itpa	16434	Q9D892
ENSMUSG00000022048	Dpysl2	12934	O08553
ENSMUSG00000028874	Fgr	14191	P14234
ENSMUSG00000027678	Ncoa3	17979	
ENSMUSG00000030546	Plin1	103968	Q8CGN5
ENSMUSG00000021496	Pcbd2	72562	Q9CZL5
ENSMUSG00000072664	Ugt3a1	105887	Q3UP75
ENSMUSG00000022791	Tnk2	51789	
ENSMUSG00000028751	Pla2g2e	26970	Q9QUL3
ENSMUSG00000006390	Elovl1	54325	Q9JLJ5
ENSMUSG00000026181	Ppm1f	68606	Q8CGA0
ENSMUSG00000015133	Lrrk1	233328	Q3UHC2
ENSMUSG00000050931	Sgms2	74442	Q9D4B1
ENSMUSG00000027761	Aadac	67758	Q99PG0
ENSMUSG00000026219	Trip12	14897	G5E870
ENSMUSG00000039254	Pomt1	99011	Q8R2R1
ENSMUSG00000019916	P4ha1	18451	Q60715
ENSMUSG00000028412	Slc44a1	100434	Q6X893
ENSMUSG00000000320	Alox12	11684	P39655
ENSMUSG00000029992	Gfpt1	14583	P47856
ENSMUSG00000025575	Cant1	76025	Q8VCF1
ENSMUSG00000049152	Ugt3a2	223337	Q8JZZ0
ENSMUSG00000062031	Pgghg	212974	Q8BP56
ENSMUSG00000006494	Pdk1	228026	Q8BFP9
ENSMUSG00000042289	Hsd3b7	101502	Q9EQC1
ENSMUSG00000046000	Naa11	97243	Q3UX61
ENSMUSG00000024854	Pold4	69745	Q9CWP8
ENSMUSG00000020357	Flt4	14257	P35917
ENSMUSG00000031337	Mtm1	17772	Q9Z2C5
ENSMUSG00000032376	Usp3	235441	Q91W36
ENSMUSG00000035247	Hectd1	207304	Q69ZR2
ENSMUSG00000055024	Ep300	328572	B2RWS6
ENSMUSG00000041625	Ggact	223267	Q923B0
ENSMUSG00000006005	Tpr	108989	F6ZDS4
ENSMUSG00000035704	Alg8	381903	Q6P8H8
ENSMUSG00000001155	Ftcd	14317	Q91XD4
ENSMUSG00000052504	Epha3	13837	
ENSMUSG00000038936	Sccpdh	109232	Q8R127
ENSMUSG00000037373	Ctbp1	13016	O88712
ENSMUSG00000003123	Lipe	16890	P54310
ENSMUSG00000024493	Lars	107045	Q8BMJ2
ENSMUSG00000028926	Cdk14	18647	O35495
ENSMUSG00000026005	Rpe	66646	Q8VEE0
ENSMUSG00000028367	Txn1	22166	P10639
ENSMUSG00000022244	Amacr	17117	O09174
ENSMUSG00000025534	Gusb	110006	P12265
ENSMUSG00000015085	Entpd2	12496	O55026
