fromGeneId	fromSymbol	toGeneId	toSymbol	best	bestReverse	methodCount	totalMethodCount
HGNC:5	A1BG	MGI:2152878	A1bg	Yes	Yes	10	10
HGNC:24086	A1CF	MGI:1917115	A1cf	Yes	Yes	10	10
HGNC:7	A2M	MGI:2449119	A2m	Yes	Yes	10	10
HGNC:30005	A3GALT2	MGI:2685279	A3galt2	Yes	Yes	9	10
HGNC:18149	A4GALT	MGI:3512453	A4galt	Yes	Yes	10	10
HGNC:17968	A4GNT	MGI:2143261	A4gnt	Yes	Yes	10	10
HGNC:13666	AAAS	MGI:2443767	Aaas	Yes	Yes	10	10
HGNC:21298	AACS	MGI:1926144	Aacs	Yes	Yes	10	10
HGNC:17	AADAC	MGI:1915008	Aadac	Yes	Yes	10	10
HGNC:24427	AADACL2	MGI:3646333	Aadacl2	Yes	Yes	10	10
HGNC:32037	AADACL3	MGI:2685281	Aadacl3	Yes	Yes	10	10
HGNC:32038	AADACL4	MGI:3650257	Aadacl4	Yes	Yes	9	10
HGNC:32038	AADACL4	MGI:2685880	Aadacl4fm1	No	Yes	4	10
HGNC:32038	AADACL4	MGI:3652194	Aadacl4fm2	No	Yes	4	10
HGNC:32038	AADACL4	MGI:3650721	AAdacl4fm3	No	Yes	8	10
HGNC:32038	AADACL4	MGI:2685282	Aadacl4fm4	No	Yes	5	10
HGNC:32038	AADACL4	MGI:2685284	Aadacl4fm5	No	Yes	5	10
HGNC:17929	AADAT	MGI:1345167	Aadat	Yes	Yes	10	10
HGNC:25662	AAGAB	MGI:1914189	Aagab	Yes	Yes	10	10
HGNC:19679	AAK1	MGI:1098687	Aak1	Yes	Yes	10	10
HGNC:30205	AAMDC	MGI:1913523	Aamdc	Yes	Yes	10	10
HGNC:18	AAMP	MGI:107809	Aamp	Yes	Yes	10	10
HGNC:19	AANAT	MGI:1328365	Aanat	Yes	Yes	10	10
HGNC:15886	AAR2	MGI:1915545	Aar2	Yes	Yes	10	10
HGNC:33842	AARD	MGI:2181621	Aard	Yes	Yes	10	10
HGNC:20	AARS1	MGI:2384560	Aars	Yes	Yes	10	10
HGNC:21022	AARS2	MGI:2681839	Aars2	Yes	Yes	10	10
HGNC:28417	AARSD1	MGI:1916934	Aarsd1	Yes	Yes	10	10
HGNC:23993	AASDH	MGI:2442517	Aasdh	Yes	Yes	10	10
HGNC:14235	AASDHPPT	MGI:1914868	Aasdhppt	Yes	Yes	10	10
HGNC:17366	AASS	MGI:1353573	Aass	Yes	Yes	10	10
HGNC:19235	AATF	MGI:1929608	Aatf	Yes	Yes	10	10
HGNC:21	AATK	MGI:1197518	Aatk	Yes	Yes	9	10
HGNC:23	ABAT	MGI:2443582	Abat	Yes	Yes	10	10
