Gene	p	FC
Gnai3	0.000292068454195014	0.148166618863965
Cdc45	0.386627196577771	0.147421344912294
H19	2.81125925470582e-09	3.43628933308878
Scml2	0.598304088309141	0.0863748371961755
Apoh	1.87340004467872e-05	-2.20195077606223
Narf	0.000333829781066862	-0.228486587598647
Cav2	1.07036588155817e-07	0.540560096457458
Klf6	0.182220739267126	0.221531613057987
Scmh1	0.843645040842606	-0.0100709543084425
Cox5a	0.00277547506829854	-0.209698317298143
Tbx2	0.0239351333658288	0.33476652841442
Tbx4	0.136548282809849	-0.408953106363498
Ngfr	0.379176446678715	-0.164624274060884
Wnt3	0.644910799689309	0.0797952260637653
Wnt9a	0.00989852572631085	-0.33335976329835
Fer	1.80304467215669e-07	-0.272989825976812
Xpo6	0.780017508292171	-0.00754604042301093
Tfe3	0.0081934190060469	0.14553586408208
Axin2	0.339041972765999	-0.0693899750613087
Brat1	0.601235037471319	0.0282472180771428
Gna12	3.68206077469056e-05	0.251555009968672
Slc22a18	3.7948391564256e-05	0.960641262870296
Itgb2l	0.0896065197931469	1.46229179541072
Igsf5	0.000824084826509623	-0.804149101101294
Pih1d2	0.248419063468134	0.19111335598906
Dlat	2.52472431660381e-05	-0.259157731245433
Sdhd	0.0665204216745137	-0.125863368579262
Fgf23	0.393620698424823	-0.262405839185402
Fgf6	1	0
Ccnd2	0.53454151930433	0.120303486000712
Gpr107	0.0285851395962568	-0.0680207034644802
Nalcn	1.65360683936078e-08	-0.318951744611278
Btbd17	0.00293488279833264	-0.323992942345433
Slfn4	0.862533106194617	0.199316357465845
Th	0.102482395121716	-0.25144161560946
Ins2	0.976085057545945	0.0937676183181216
Scnn1g	0.100951324318181	-0.517640679128524
Drp2	0.0784885678690261	-0.0921174702693931
Tspan32	0.00149196941691998	1.61385451461424
Lhx2	0.0520748955256404	-0.178030748919903
Clec2g	0.734372612105948	0.560092650143418
Gmpr	4.11821004527585e-09	-0.302655165049618
Glra1	0.339642322213331	0.45026673943008
Mid2	0.34986658095541	-0.056875898101274
Trim25	1.40297011323755e-16	0.799196976433398
Dgke	1.56349556790495e-09	-0.276509766984328
Scpep1	7.22411827267629e-19	0.697560619925437
Mnt	0.979847536545647	-0.00166044926493049
Itgb2	4.9196760568955e-13	2.29692466803513
Hddc2	0.298239534268063	-0.0619102740822863
Tpd52l1	0.00141494166042484	-0.27930904177154
Pemt	0.878630207319294	-0.0202448476749221
Cdh1	0.582099486052019	-0.302158030377147
Cdh4	0.00938993304429003	-0.246965696545036
Ckmt1	9.8555338931685e-18	-0.453288647716509
Bcl6b	0.192300952825056	-0.199388743362632
Clec10a	0.839815665698725	-0.119910987674648
Alox12	0.345661440516511	0.214803087875422
Arvcf	0.711425868046993	0.0301819090384901
Comt	0.188896254815108	0.11813074286162
Rtca	6.37326089456763e-05	-0.196241455126316
Dbt	0.27550882192439	0.0797067890345909
