sampleID,Model,Genotype,Tissue,Celltype,Gender,Age
GSM1560991,APPPS1,WTvehicle,HippocampalCA1,Mixed,NA,20
GSM1560992,APPPS1,WTvehicle,HippocampalCA1,Mixed,NA,20
GSM1560993,APPPS1,WTvehicle,HippocampalCA1,Mixed,NA,20
GSM1560994,APPPS1,WTvehicle,HippocampalCA1,Mixed,NA,20
GSM1560995,APPPS1,WTvehicle,HippocampalCA1,Mixed,NA,20
GSM1560996,APPPS1,WTvehicle,HippocampalCA1,Mixed,NA,20
GSM1560997,APPPS1,WTvehicle,HippocampalCA1,Mixed,NA,3
GSM1560998,APPPS1,WTvehicle,HippocampalCA1,Mixed,NA,3
GSM1560999,APPPS1,WTvehicle,HippocampalCA1,Mixed,NA,3
GSM1561000,APPPS1,WTvehicle,HippocampalCA1,Mixed,NA,3
GSM1561001,APPPS1,WTvehicle,HippocampalCA1,Mixed,NA,3
GSM1561002,APPPS1,WTvehicle,HippocampalCA1,Mixed,NA,3
GSM1561003,APPPS1,WTvehicle,HippocampalCA1,Mixed,NA,3
GSM1561004,APPPS1,WTvehicle,HippocampalCA1,Mixed,NA,3
GSM1561005,APPPS1,WTSAHA,HippocampalCA1,Mixed,NA,20
GSM1561006,APPPS1,WTSAHA,HippocampalCA1,Mixed,NA,20
GSM1561007,APPPS1,WTSAHA,HippocampalCA1,Mixed,NA,20
GSM1561008,APPPS1,WTSAHA,HippocampalCA1,Mixed,NA,20
GSM1561009,APPPS1,WTSAHA,HippocampalCA1,Mixed,NA,20
GSM1561010,APPPS1,WTSAHA,HippocampalCA1,Mixed,NA,20
GSM1561011,APPPS1,WTvehicle,Liver,Mixed,NA,20
GSM1561012,APPPS1,WTvehicle,Liver,Mixed,NA,20
GSM1561013,APPPS1,WTvehicle,Liver,Mixed,NA,20
GSM1561014,APPPS1,WTvehicle,Liver,Mixed,NA,20
GSM1561015,APPPS1,WTvehicle,Liver,Mixed,NA,20
GSM1561016,APPPS1,WTvehicle,Liver,Mixed,NA,20
GSM1561017,APPPS1,WTvehicle,Liver,Mixed,NA,3
GSM1561018,APPPS1,WTvehicle,Liver,Mixed,NA,3
GSM1561019,APPPS1,WTvehicle,Liver,Mixed,NA,3
GSM1561020,APPPS1,WTvehicle,Liver,Mixed,NA,3
GSM1561021,APPPS1,WTvehicle,Liver,Mixed,NA,3
GSM1561022,APPPS1,WTvehicle,Liver,Mixed,NA,3
GSM1561023,APPPS1,WTvehicle,Liver,Mixed,NA,3
GSM1561024,APPPS1,WTSAHA,Liver,Mixed,NA,20
GSM1561025,APPPS1,WTSAHA,Liver,Mixed,NA,20
GSM1561026,APPPS1,WTSAHA,Liver,Mixed,NA,20
GSM1561027,APPPS1,WTSAHA,Liver,Mixed,NA,20
GSM1561028,APPPS1,WTSAHA,Liver,Mixed,NA,20
GSM1561029,APPPS1,WTSAHA,Liver,Mixed,NA,20
GSM1561030,APPPS1,WTSAHA,Liver,Mixed,NA,20
GSM1561031,APPPS1,WTSAHA,Liver,Mixed,NA,20
GSM1561032,APPPS1,WTvehicle,HippocampalCA1,Mixed,NA,10
GSM1561033,APPPS1,WTvehicle,HippocampalCA1,Mixed,NA,10
GSM1561034,APPPS1,WTvehicle,HippocampalCA1,Mixed,NA,10
GSM1561035,APPPS1,WTvehicle,HippocampalCA1,Mixed,NA,10
GSM1561036,APPPS1,WTvehicle,HippocampalCA1,Mixed,NA,10
GSM1561037,APPPS1,WTvehicle,HippocampalCA1,Mixed,NA,10
GSM1561038,APPPS1,WTvehicle,HippocampalCA1,Mixed,NA,10
GSM1561039,APPPS1,WTvehicle,HippocampalCA1,Mixed,NA,10
GSM1561040,APPPS1,WTvehicle,HippocampalCA1,Mixed,NA,10
GSM1561041,APPPS1,WTvehicle,HippocampalCA1,Mixed,NA,10
GSM1561042,APPPS1,WTvehicle,HippocampalCA1,Mixed,NA,10
GSM1561043,APPPS1,Transgenicvehicle,HippocampalCA1,Mixed,NA,10
GSM1561044,APPPS1,Transgenicvehicle,HippocampalCA1,Mixed,NA,10
GSM1561045,APPPS1,Transgenicvehicle,HippocampalCA1,Mixed,NA,10
GSM1561046,APPPS1,Transgenicvehicle,HippocampalCA1,Mixed,NA,10
GSM1561047,APPPS1,Transgenicvehicle,HippocampalCA1,Mixed,NA,10
GSM1561048,APPPS1,Transgenicvehicle,HippocampalCA1,Mixed,NA,10
GSM1561049,APPPS1,Transgenicvehicle,HippocampalCA1,Mixed,NA,10
GSM1561050,APPPS1,Transgenicvehicle,HippocampalCA1,Mixed,NA,10
GSM1561051,APPPS1,Transgenicvehicle,HippocampalCA1,Mixed,NA,10
GSM1561052,APPPS1,TransgenicSAHA,HippocampalCA1,Mixed,NA,10
GSM1561053,APPPS1,TransgenicSAHA,HippocampalCA1,Mixed,NA,10
GSM1561054,APPPS1,TransgenicSAHA,HippocampalCA1,Mixed,NA,10
GSM1561055,APPPS1,TransgenicSAHA,HippocampalCA1,Mixed,NA,10
GSM1561056,APPPS1,TransgenicSAHA,HippocampalCA1,Mixed,NA,10
GSM1561057,APPPS1,TransgenicSAHA,HippocampalCA1,Mixed,NA,10
GSM1561058,APPPS1,TransgenicSAHA,HippocampalCA1,Mixed,NA,10
GSM1561059,APPPS1,TransgenicSAHA,HippocampalCA1,Mixed,NA,10
