sampleID,Model,Genotype,Tissue,Celltype,Gender,Age
GSM2683998,FMN2KO,WT,Dentate gyrus,Mixed,Male,3
GSM2683999,FMN2KO,WT,Dentate gyrus,Mixed,Male,3
GSM2684000,FMN2KO,WT,Dentate gyrus,Mixed,Male,3
GSM2684001,FMN2KO,WT,Dentate gyrus,Mixed,Male,3
GSM2684002,FMN2KO,WT,Dentate gyrus,Mixed,Male,3
GSM2684003,FMN2KO,FMN2KO,Dentate gyrus,Mixed,Male,3
GSM2684004,FMN2KO,FMN2KO,Dentate gyrus,Mixed,Male,3
GSM2684005,FMN2KO,FMN2KO,Dentate gyrus,Mixed,Male,3
GSM2684006,FMN2KO,FMN2KO,Dentate gyrus,Mixed,Male,3
GSM2684007,FMN2KO,FMN2KO,Dentate gyrus,Mixed,Male,3
GSM2684008,FMN2KO,WT,Dentate gyrus,Mixed,Male,8
GSM2684009,FMN2KO,WT,Dentate gyrus,Mixed,Male,8
GSM2684010,FMN2KO,WT,Dentate gyrus,Mixed,Male,8
GSM2684011,FMN2KO,FMN2KO,Dentate gyrus,Mixed,Male,8
GSM2684012,FMN2KO,FMN2KO,Dentate gyrus,Mixed,Male,8
GSM2684013,FMN2KO,FMN2KO,Dentate gyrus,Mixed,Male,8
GSM2684014,FMN2KO,FMN2KO,Dentate gyrus,Mixed,Male,8
GSM2684015,FMN2KO,FMN2KO,Dentate gyrus,Mixed,Male,8
GSM2684016,FMN2-/-APPPS1,FMN2KOAPPPS1,Dentate gyrus,Mixed,Male,3
GSM2684017,FMN2-/-APPPS1,FMN2KOAPPPS1,Dentate gyrus,Mixed,Male,3
GSM2684018,FMN2-/-APPPS1,FMN2KOAPPPS1,Dentate gyrus,Mixed,Male,3
GSM2684019,FMN2-/-APPPS1,FMN2KOAPPPS1,Dentate gyrus,Mixed,Male,3
GSM2684020,FMN2-/-APPPS1,FMN2KOAPPPS1,Dentate gyrus,Mixed,Male,3
GSM2684021,FMN2-/-APPPS1,FMN2KOAPPPS1,Dentate gyrus,Mixed,Male,3
GSM2684022,FMN2-/-APPPS1,FMN2KOAPPPS1,Dentate gyrus,Mixed,Male,3
GSM2684023,FMN2-/-APPPS1,FMN2KOAPPPS1,Dentate gyrus,Mixed,Male,3
GSM2684024,FMN2+/+APPPS1,FMN2APPPS1,Dentate gyrus,Mixed,Male,3
GSM2684025,FMN2+/+APPPS1,FMN2APPPS1,Dentate gyrus,Mixed,Male,3
GSM2684026,FMN2+/+APPPS1,FMN2APPPS1,Dentate gyrus,Mixed,Male,3
GSM2684027,FMN2+/+APPPS1,FMN2APPPS1,Dentate gyrus,Mixed,Male,3
GSM2684028,FMN2+/+APPPS1,FMN2APPPS1,Dentate gyrus,Mixed,Male,3
GSM2684029,FMN2+/+APPPS1,FMN2APPPS1,Dentate gyrus,Mixed,Male,3
GSM2684030,FMN2+/+APPPS1,FMN2APPPS1,Dentate gyrus,Mixed,Male,3
GSM2684031,FMN2+/+APPPS1,FMN2APPPS1,Dentate gyrus,Mixed,Male,3
GSM2684032,FMN2+/+APPPS1,FMN2APPPS1,Dentate gyrus,Mixed,Male,3
GSM2684033,FMN2+/+APPPS1,FMN2APPPS1,Dentate gyrus,Mixed,Male,3
GSM2684034,APPPS1,APPPS1,Dentate gyrus,Mixed,Male,4
GSM2684035,APPPS1,APPPS1,Dentate gyrus,Mixed,Male,4
GSM2684036,APPPS1,APPPS1,Dentate gyrus,Mixed,Male,4
GSM2684037,APPPS1,APPPS1,Dentate gyrus,Mixed,Male,4
GSM2684038,APPPS1,APPPS1,Dentate gyrus,Mixed,Male,4
GSM2684039,APPPS1,APPPS1,Dentate gyrus,Mixed,Male,4
GSM2684040,APPPS1,WT,Dentate gyrus,Mixed,Male,4
GSM2684041,APPPS1,WT,Dentate gyrus,Mixed,Male,4
GSM2684042,APPPS1,WT,Dentate gyrus,Mixed,Male,4
GSM2684043,APPPS1,WT,Dentate gyrus,Mixed,Male,4
GSM2684044,APPPS1,WT,Dentate gyrus,Mixed,Male,4
GSM2684045,APPPS1,WT,Dentate gyrus,Mixed,Male,4
