sampleID,Model,Genotype,Tissue,Celltype,Gender,Age
GSM3015636,APPPS1,Transgenic,Hippocampus,Mixed,Male,10
GSM3015637,APPPS1,Transgenic,Hippocampus,Mixed,Male,10
GSM3015639,APPPS1,Transgenic,Hippocampus,Mixed,Male,10
GSM3015640,APPPS1,Transgenic,Hippocampus,Mixed,Male,10
GSM3015641,APPPS1,Transgenic,Hippocampus,Mixed,Male,10
GSM3015642,APPPS1,Transgenic,Hippocampus,Mixed,Male,10
GSM3015643,APPPS1,Transgenic,Hippocampus,Mixed,Male,10
GSM3015645,APPPS1,Transgenic,Hippocampus,Mixed,Male,10
GSM3015646,APPPS1,Transgenic,Hippocampus,Mixed,Male,10
GSM3015647,APPPS1,Transgenic,Hippocampus,Mixed,Male,10
GSM3015648,APPPS1,Transgenic,Hippocampus,Mixed,Male,4
GSM3015649,APPPS1,Transgenic,Hippocampus,Mixed,Male,4
GSM3015650,APPPS1,Transgenic,Hippocampus,Mixed,Male,4
GSM3015651,APPPS1,Transgenic,Hippocampus,Mixed,Male,4
GSM3015652,APPPS1,Transgenic,Hippocampus,Mixed,Male,4
GSM3015653,APPPS1,Transgenic,Hippocampus,Mixed,Male,4
GSM3015654,APPPS1,Transgenic,Hippocampus,Mixed,Male,4
GSM3015655,APPPS1,Transgenic,Hippocampus,Mixed,Male,4
GSM3015656,APPPS1,Transgenic,Hippocampus,Mixed,Male,4
GSM3015657,APPPS1,Transgenic,Hippocampus,Mixed,Male,4
GSM3015658,APPPS1,Transgenic,Hippocampus,Mixed,Male,4
GSM3015659,APPPS1,Transgenic,Hippocampus,Mixed,Male,4
GSM3015660,APPPS1,Wildtype,Hippocampus,Mixed,Male,10
GSM3015661,APPPS1,Wildtype,Hippocampus,Mixed,Male,10
GSM3015662,APPPS1,Wildtype,Hippocampus,Mixed,Male,10
GSM3015663,APPPS1,Wildtype,Hippocampus,Mixed,Male,10
GSM3015664,APPPS1,Wildtype,Hippocampus,Mixed,Male,10
GSM3015665,APPPS1,Wildtype,Hippocampus,Mixed,Male,10
GSM3015666,APPPS1,Wildtype,Hippocampus,Mixed,Male,10
GSM3015667,APPPS1,Wildtype,Hippocampus,Mixed,Male,10
GSM3015668,APPPS1,Wildtype,Hippocampus,Mixed,Male,10
GSM3015669,APPPS1,Wildtype,Hippocampus,Mixed,Male,10
GSM3015670,APPPS1,Wildtype,Hippocampus,Mixed,Male,10
GSM3015671,APPPS1,Wildtype,Hippocampus,Mixed,Male,10
GSM3015672,APPPS1,Wildtype,Hippocampus,Mixed,Male,4
GSM3015673,APPPS1,Wildtype,Hippocampus,Mixed,Male,4
GSM3015674,APPPS1,Wildtype,Hippocampus,Mixed,Male,4
GSM3015675,APPPS1,Wildtype,Hippocampus,Mixed,Male,4
GSM3015676,APPPS1,Wildtype,Hippocampus,Mixed,Male,4
GSM3015677,APPPS1,Wildtype,Hippocampus,Mixed,Male,4
GSM3015678,APPPS1,Wildtype,Hippocampus,Mixed,Male,4
GSM3015679,APPPS1,Wildtype,Hippocampus,Mixed,Male,4
GSM3015680,APPPS1,Wildtype,Hippocampus,Mixed,Male,4
GSM3015681,APPPS1,Wildtype,Hippocampus,Mixed,Male,4
GSM3015682,APPPS1,Wildtype,Hippocampus,Mixed,Male,4
GSM3015683,APPPS1,Wildtype,Hippocampus,Mixed,Male,4
GSM3015684,THYTau22,Transgenic,Hippocampus,Mixed,Male,10
GSM3015685,THYTau22,Transgenic,Hippocampus,Mixed,Male,10
GSM3015686,THYTau22,Transgenic,Hippocampus,Mixed,Male,10
GSM3015687,THYTau22,Transgenic,Hippocampus,Mixed,Male,10
GSM3015688,THYTau22,Transgenic,Hippocampus,Mixed,Male,10
GSM3015689,THYTau22,Transgenic,Hippocampus,Mixed,Male,10
GSM3015690,THYTau22,Transgenic,Hippocampus,Mixed,Male,10
GSM3015691,THYTau22,Transgenic,Hippocampus,Mixed,Male,10
GSM3015692,THYTau22,Transgenic,Hippocampus,Mixed,Male,10
GSM3015693,THYTau22,Transgenic,Hippocampus,Mixed,Male,10
GSM3015694,THYTau22,Transgenic,Hippocampus,Mixed,Male,10
GSM3015695,THYTau22,Transgenic,Hippocampus,Mixed,Male,10
GSM3015696,THYTau22,Transgenic,Hippocampus,Mixed,Male,4
GSM3015697,THYTau22,Transgenic,Hippocampus,Mixed,Male,4
GSM3015698,THYTau22,Transgenic,Hippocampus,Mixed,Male,4
GSM3015699,THYTau22,Transgenic,Hippocampus,Mixed,Male,4
GSM3015700,THYTau22,Transgenic,Hippocampus,Mixed,Male,4
GSM3015701,THYTau22,Transgenic,Hippocampus,Mixed,Male,4
GSM3015702,THYTau22,Transgenic,Hippocampus,Mixed,Male,4
