sampleID,Model,Genotype,Tissue,Celltype,Gender,Age
GSM3526593,TREM2KO,cuprizoneDietTREM2Het,Brain,Microglia,Male,13
GSM3526594,TREM2KO,cuprizoneDietTREM2Het,Brain,NonMicroglia,Male,13
GSM3526595,TREM2KO,controlDietTREM2KO,Brain,Microglia,Female,11
GSM3526596,TREM2KO,controlDietTREM2KO,Brain,NonMicroglia,Female,11
GSM3526597,TREM2KO,cuprizoneDietTREM2Het,Brain,Microglia,Female,11
GSM3526598,TREM2KO,cuprizoneDietTREM2Het,Brain,NonMicroglia,Female,11
GSM3526599,TREM2KO,cuprizoneDietTREM2Het,Brain,Microglia,Female,11
GSM3526600,TREM2KO,cuprizoneDietTREM2Het,Brain,NonMicroglia,Female,11
GSM3526601,TREM2KO,controlDietTREM2KO,Brain,Microglia,Female,13
GSM3526602,TREM2KO,controlDietTREM2KO,Brain,NonMicroglia,Female,13
GSM3526603,TREM2KO,controlDietTREM2Het,Brain,Microglia,Male,11
GSM3526604,TREM2KO,controlDietTREM2Het,Brain,NonMicroglia,Male,11
GSM3526605,TREM2KO,cuprizoneDietWT,Brain,Microglia,Female,13
GSM3526606,TREM2KO,cuprizoneDietWT,Brain,NonMicroglia,Female,13
GSM3526607,TREM2KO,cuprizoneDietTREM2KO,Brain,Microglia,Female,13
GSM3526608,TREM2KO,cuprizoneDietTREM2KO,Brain,NonMicroglia,Female,13
GSM3526609,TREM2KO,controlDietWT,Brain,Microglia,Female,11
GSM3526610,TREM2KO,controlDietWT,Brain,NonMicroglia,Female,11
GSM3526611,TREM2KO,controlDietWT,Brain,Microglia,Male,13
GSM3526612,TREM2KO,controlDietWT,Brain,NonMicroglia,Male,13
GSM3526613,TREM2KO,cuprizoneDietWT,Brain,Microglia,Male,11
GSM3526614,TREM2KO,cuprizoneDietWT,Brain,NonMicroglia,Male,11
GSM3526615,TREM2KO,cuprizoneDietTREM2Het,Brain,Microglia,Female,13
GSM3526616,TREM2KO,cuprizoneDietTREM2Het,Brain,NonMicroglia,Female,13
GSM3526617,TREM2KO,cuprizoneDietTREM2KO,Brain,Microglia,Female,11
GSM3526618,TREM2KO,cuprizoneDietTREM2KO,Brain,NonMicroglia,Female,11
GSM3526619,TREM2KO,controlDietWT,Brain,Microglia,Female,11
GSM3526620,TREM2KO,controlDietWT,Brain,NonMicroglia,Female,11
GSM3526621,TREM2KO,cuprizoneDietTREM2KO,Brain,Microglia,Female,11
GSM3526622,TREM2KO,cuprizoneDietTREM2KO,Brain,NonMicroglia,Female,11
GSM3526623,TREM2KO,cuprizoneDietWT,Brain,Microglia,Female,13
GSM3526624,TREM2KO,cuprizoneDietWT,Brain,NonMicroglia,Female,13
GSM3526625,TREM2KO,controlDietTREM2Het,Brain,Microglia,Female,11
GSM3526626,TREM2KO,controlDietTREM2Het,Brain,NonMicroglia,Female,11
GSM3526627,TREM2KO,controlDietWT,Brain,Microglia,Male,11
GSM3526628,TREM2KO,controlDietWT,Brain,NonMicroglia,Male,11
GSM3526629,TREM2KO,cuprizoneDietTREM2Het,Brain,Microglia,Female,13
GSM3526630,TREM2KO,cuprizoneDietTREM2Het,Brain,NonMicroglia,Female,13
GSM3526631,TREM2KO,cuprizoneDietWT,Brain,Microglia,Female,11
GSM3526632,TREM2KO,cuprizoneDietWT,Brain,NonMicroglia,Female,11
GSM3526633,TREM2KO,controlDietTREM2Het,Brain,Microglia,Female,13
GSM3526634,TREM2KO,controlDietTREM2Het,Brain,NonMicroglia,Female,13
GSM3526635,TREM2KO,cuprizoneDietTREM2Het,Brain,Microglia,Male,11
GSM3526636,TREM2KO,cuprizoneDietTREM2Het,Brain,NonMicroglia,Male,11
GSM3526637,TREM2KO,cuprizoneDietWT,Brain,Microglia,Male,13
GSM3526638,TREM2KO,cuprizoneDietWT,Brain,NonMicroglia,Male,13
GSM3526639,TREM2KO,cuprizoneDietTREM2KO,Brain,Microglia,Male,11
GSM3526640,TREM2KO,cuprizoneDietTREM2KO,Brain,NonMicroglia,Male,11
