sampleID,Model,Genotype,Tissue,Celltype,Gender,Age
GSM2804336,APP23,APP231LPS,Brain,Microglia,Female,9
GSM2804337,APP23,APP231LPS,Brain,Microglia,Female,9
GSM2804338,APP23,APP231LPS,Brain,Microglia,Female,9
GSM2804339,APP23,APP231LPS,Brain,Microglia,Female,9
GSM2804340,APP23,APP231LPS,Brain,Microglia,Female,9
GSM2804341,APP23,APP234LPS,Brain,Microglia,Female,9
GSM2804342,APP23,APP234LPS,Brain,Microglia,Female,9
GSM2804343,APP23,APP234LPS,Brain,Microglia,Female,9
GSM2804344,APP23,APP234LPS,Brain,Microglia,Female,9
GSM2804345,APP23,APP23PBS,Brain,Microglia,Female,9
GSM2804346,APP23,APP23PBS,Brain,Microglia,Female,9
GSM2804347,APP23,APP23PBS,Brain,Microglia,Female,9
GSM2804348,APP23,APP23PBS,Brain,Microglia,Female,9
GSM2804349,APP23,APP23PBS,Brain,Microglia,Female,9
GSM2804350,APP23,APP23PBS,Brain,Microglia,Female,9
GSM2804351,APP23,WT1LPS,Brain,Microglia,Female,9
GSM2804352,APP23,WT1LPS,Brain,Microglia,Female,9
GSM2804353,APP23,WT1LPS,Brain,Microglia,Female,9
GSM2804354,APP23,WT1LPS,Brain,Microglia,Female,9
GSM2804355,APP23,WT1LPS,Brain,Microglia,Female,9
GSM2804356,APP23,WT1LPS,Brain,Microglia,Female,9
GSM2804357,APP23,WT1LPS,Brain,Microglia,Female,9
GSM2804358,APP23,WT1LPS,Brain,Microglia,Female,9
GSM2804359,APP23,WT1LPS,Brain,Microglia,Female,9
GSM2804360,APP23,WT4LPS,Brain,Microglia,Female,9
GSM2804361,APP23,WT4LPS,Brain,Microglia,Female,9
GSM2804362,APP23,WT4LPS,Brain,Microglia,Female,9
GSM2804363,APP23,WT4LPS,Brain,Microglia,Female,9
GSM2804364,APP23,WT4LPS,Brain,Microglia,Female,9
GSM2804365,APP23,WT4LPS,Brain,Microglia,Female,9
GSM2804366,APP23,WTPBS,Brain,Microglia,Female,9
GSM2804367,APP23,WTPBS,Brain,Microglia,Female,9
GSM2804368,APP23,WTPBS,Brain,Microglia,Female,9
GSM2804369,APP23,WTPBS,Brain,Microglia,Female,9
GSM2804371,APP23,WTPBS,Brain,Microglia,Female,9
GSM2804373,APP23,WTPBS,Brain,Microglia,Female,9
GSM2804375,APP23,WTPBS,Brain,Microglia,Female,9
GSM2804378,APP23,WTPBS,Brain,Microglia,Female,9
GSM2804380,APP23,WTPBS,Brain,Microglia,Female,9
