sampleID,Model,Genotype,Tissue,Celltype,Gender,Age
GSM4059765,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,2
GSM4059766,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,2
GSM4059767,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,2
GSM4059768,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,2
GSM4059769,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,2
GSM4059770,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,4
GSM4059771,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,4
GSM4059772,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,4
GSM4059773,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,4
GSM4059774,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,4
GSM4059775,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,4
GSM4059776,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,4
GSM4059777,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,4
GSM4059778,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,4
GSM4059779,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,5
GSM4059780,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,5
GSM4059781,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,5
GSM4059782,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,5
GSM4059783,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,5
GSM4059784,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,5
GSM4059785,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,5
GSM4059786,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,5
GSM4059787,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,5
GSM4059788,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,5
GSM4059789,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,5
GSM4059790,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,5
GSM4059791,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,5
GSM4059792,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,6
GSM4059793,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,6
GSM4059794,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,6
GSM4059795,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,6
GSM4059796,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,6
GSM4059797,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,6
GSM4059798,APPswe/PSEN1dE9 (line 85),WT,Brain,Mixed,Female,6
GSM4059799,APPswe/PSEN1dE9 (line 85),Transgenic,Brain,Mixed,Female,2
GSM4059800,APPswe/PSEN1dE9 (line 85),Transgenic,Brain,Mixed,Female,2
GSM4059801,APPswe/PSEN1dE9 (line 85),Transgenic,Brain,Mixed,Female,2
GSM4059802,APPswe/PSEN1dE9 (line 85),Transgenic,Brain,Mixed,Female,2
GSM4059803,APPswe/PSEN1dE9 (line 85),Transgenic,Brain,Mixed,Female,2
GSM4059804,APPswe/PSEN1dE9 (line 85),Transgenic,Brain,Mixed,Female,4
GSM4059805,APPswe/PSEN1dE9 (line 85),Transgenic,Brain,Mixed,Female,4
GSM4059806,APPswe/PSEN1dE9 (line 85),Transgenic,Brain,Mixed,Female,4
GSM4059807,APPswe/PSEN1dE9 (line 85),Transgenic,Brain,Mixed,Female,4
GSM4059808,APPswe/PSEN1dE9 (line 85),Transgenic,Brain,Mixed,Female,4
GSM4059809,APPswe/PSEN1dE9 (line 85),Transgenic,Brain,Mixed,Female,5
GSM4059810,APPswe/PSEN1dE9 (line 85),Transgenic,Brain,Mixed,Female,5
GSM4059811,APPswe/PSEN1dE9 (line 85),Transgenic,Brain,Mixed,Female,5
GSM4059812,APPswe/PSEN1dE9 (line 85),Transgenic,Brain,Mixed,Female,5
GSM4059813,APPswe/PSEN1dE9 (line 85),Transgenic,Brain,Mixed,Female,5
GSM4059814,APPswe/PSEN1dE9 (line 85),Transgenic,Brain,Mixed,Female,5
GSM4059815,APPswe/PSEN1dE9 (line 85),Transgenic,Brain,Mixed,Female,5
GSM4059816,APPswe/PSEN1dE9 (line 85),Transgenic,Brain,Mixed,Female,5
GSM4059817,APPswe/PSEN1dE9 (line 85),Transgenic,Brain,Mixed,Female,5
GSM4059818,APPswe/PSEN1dE9 (line 85),Transgenic,Brain,Mixed,Female,5
GSM4059819,APPswe/PSEN1dE9 (line 85),Transgenic,Brain,Mixed,Female,5
GSM4059820,APPswe/PSEN1dE9 (line 85),Transgenic,Brain,Mixed,Female,6
GSM4059821,APPswe/PSEN1dE9 (line 85),Transgenic,Brain,Mixed,Female,6
GSM4059822,APPswe/PSEN1dE9 (line 85),Transgenic,Brain,Mixed,Female,6
GSM4059823,APPswe/PSEN1dE9 (line 85),Transgenic,Brain,Mixed,Female,6
GSM4059824,APPswe/PSEN1dE9 (line 85),Transgenic,Brain,Mixed,Female,6
