sampleID,Model,Genotype,Tissue,Celltype,Gender,Age
GSM2797732,APPswe/PSEN1dE9 (line 85),APPdelta9Anle138b,Hippocampus,Mixed,Male,10
GSM2797733,APPswe/PSEN1dE9 (line 85),APPdelta9Anle138b,Hippocampus,Mixed,Male,10
GSM2797734,APPswe/PSEN1dE9 (line 85),APPdelta9Anle138b,Hippocampus,Mixed,Male,10
GSM2797735,APPswe/PSEN1dE9 (line 85),APPdelta9Anle138b,Hippocampus,Mixed,Male,10
GSM2797736,APPswe/PSEN1dE9 (line 85),APPdelta9Anle138b,Hippocampus,Mixed,Male,10
GSM2797737,APPswe/PSEN1dE9 (line 85),APPdelta9Anle138b,Hippocampus,Mixed,Male,10
GSM2797738,APPswe/PSEN1dE9 (line 85),APPdelta9Anle138b,Hippocampus,Mixed,Male,10
GSM2797739,APPswe/PSEN1dE9 (line 85),APPdelta9Placebo,Hippocampus,Mixed,Male,10
GSM2797740,APPswe/PSEN1dE9 (line 85),APPdelta9Placebo,Hippocampus,Mixed,Male,10
GSM2797741,APPswe/PSEN1dE9 (line 85),APPdelta9Placebo,Hippocampus,Mixed,Male,10
GSM2797742,APPswe/PSEN1dE9 (line 85),APPdelta9Placebo,Hippocampus,Mixed,Male,10
GSM2797743,APPswe/PSEN1dE9 (line 85),APPdelta9Placebo,Hippocampus,Mixed,Male,10
GSM2797744,APPswe/PSEN1dE9 (line 85),WildtypeAnle138b,Hippocampus,Mixed,Male,10
GSM2797745,APPswe/PSEN1dE9 (line 85),WildtypeAnle138b,Hippocampus,Mixed,Male,10
GSM2797746,APPswe/PSEN1dE9 (line 85),WildtypeAnle138b,Hippocampus,Mixed,Male,10
GSM2797747,APPswe/PSEN1dE9 (line 85),WildtypeAnle138b,Hippocampus,Mixed,Male,10
GSM2797748,APPswe/PSEN1dE9 (line 85),WildtypeAnle138b,Hippocampus,Mixed,Male,10
GSM2797749,APPswe/PSEN1dE9 (line 85),WildtypePlacebo,Hippocampus,Mixed,Male,10
GSM2797750,APPswe/PSEN1dE9 (line 85),WildtypePlacebo,Hippocampus,Mixed,Male,10
GSM2797751,APPswe/PSEN1dE9 (line 85),WildtypePlacebo,Hippocampus,Mixed,Male,10
GSM2797752,APPswe/PSEN1dE9 (line 85),WildtypePlacebo,Hippocampus,Mixed,Male,10
GSM2797753,APPswe/PSEN1dE9 (line 85),WildtypePlacebo,Hippocampus,Mixed,Male,10
GSM2797754,APPswe/PSEN1dE9 (line 85),APPdelta9Anle138b,Hippocampus,Mixed,Male,6
GSM2797755,APPswe/PSEN1dE9 (line 85),APPdelta9Anle138b,Hippocampus,Mixed,Male,6
GSM2797756,APPswe/PSEN1dE9 (line 85),APPdelta9Anle138b,Hippocampus,Mixed,Male,6
GSM2797757,APPswe/PSEN1dE9 (line 85),APPdelta9Anle138b,Hippocampus,Mixed,Male,6
GSM2797758,APPswe/PSEN1dE9 (line 85),APPdelta9Placebo,Hippocampus,Mixed,Male,6
GSM2797759,APPswe/PSEN1dE9 (line 85),APPdelta9Placebo,Hippocampus,Mixed,Male,6
GSM2797760,APPswe/PSEN1dE9 (line 85),APPdelta9Placebo,Hippocampus,Mixed,Male,6
GSM2797761,APPswe/PSEN1dE9 (line 85),APPdelta9Placebo,Hippocampus,Mixed,Male,6
GSM2797762,APPswe/PSEN1dE9 (line 85),WildtypeAnle138b,Hippocampus,Mixed,Male,6
GSM2797763,APPswe/PSEN1dE9 (line 85),WildtypeAnle138b,Hippocampus,Mixed,Male,6
GSM2797764,APPswe/PSEN1dE9 (line 85),WildtypeAnle138b,Hippocampus,Mixed,Male,6
GSM2797765,APPswe/PSEN1dE9 (line 85),WildtypeAnle138b,Hippocampus,Mixed,Male,6
GSM2797766,APPswe/PSEN1dE9 (line 85),WildtypePlacebo,Hippocampus,Mixed,Male,6
GSM2797767,APPswe/PSEN1dE9 (line 85),WildtypePlacebo,Hippocampus,Mixed,Male,6
GSM2797768,APPswe/PSEN1dE9 (line 85),WildtypePlacebo,Hippocampus,Mixed,Male,6
GSM2797769,APPswe/PSEN1dE9 (line 85),WildtypePlacebo,Hippocampus,Mixed,Male,6
